LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 04:14:15,0                 
Time,Ampl
-0.250000282,0.0014375
-0.249999282,0.006125
-0.249998282,-0.000125
-0.249997282,0.003
-0.249996282,-0.0016875
-0.249995282,0.003
-0.249994282,0.0014375
-0.249993282,-0.000125
-0.249992282,0.0014375
-0.249991282,0.0014375
-0.249990282,-0.00325
-0.249989282,-0.0016875
-0.249988282,0.0045625
-0.249987282,0.0108125
-0.249986282,0.003
-0.249985282,0.0045625
-0.249984282,0.0045625
-0.249983282,0.003
-0.249982282,0.0045625
-0.249981282,0.0155
-0.249980282,0.0045625
-0.249979282,0.0014375
-0.249978282,0.0045625
-0.249977282,0.003
-0.249976282,0.0014375
-0.249975282,0.003
-0.249974282,0.0045625
-0.249973282,0.0076875
-0.249972282,0.006125
-0.249971282,0.003
-0.249970282,0.003
-0.249969282,-0.000125
-0.249968282,0.003
-0.249967282,-0.000125
-0.249966282,-0.000125
-0.249965282,-0.006375
-0.249964282,-0.006375
-0.249963282,0.0014375
-0.249962282,0.0045625
-0.249961282,-0.0016875
-0.249960282,0.003
-0.249959282,0.006125
-0.249958282,0.0045625
-0.249957282,0.003
-0.249956282,0.003
-0.249955282,-0.000125
-0.249954282,0.0014375
-0.249953282,0.0045625
-0.249952282,0.003
-0.249951282,0.003
-0.249950282,0.003
-0.249949282,0.006125
-0.249948282,0.0014375
-0.249947282,-0.000125
-0.249946282,0.003
-0.249945282,0.0076875
-0.249944282,-0.00325
-0.249943282,0.003
-0.249942282,0.006125
-0.249941282,0.0045625
-0.249940282,0.003
-0.249939282,0.0076875
-0.249938282,0.0076875
-0.249937282,0.006125
-0.249936282,0.006125
-0.249935282,0.003
-0.249934282,-0.000125
-0.249933282,0.003
-0.249932282,0.0045625
-0.249931282,0.0045625
-0.249930282,0.0045625
-0.249929282,-0.000125
-0.249928282,0.003
-0.249927282,-0.000125
-0.249926282,-0.000125
-0.249925282,0.0045625
-0.249924282,0.0045625
-0.249923282,0.0045625
-0.249922282,-0.0016875
-0.249921282,0.012375
-0.249920282,-0.000125
-0.249919282,-0.00325
-0.249918282,0.0045625
-0.249917282,0.0045625
-0.249916282,-0.0016875
-0.249915282,0.0045625
-0.249914282,0.006125
-0.249913282,0.003
-0.249912282,-0.0079375
-0.249911282,0.00925
-0.249910282,0.003
-0.249909282,0.006125
-0.249908282,-0.0016875
-0.249907282,0.0045625
-0.249906282,0.0014375
-0.249905282,0.006125
-0.249904282,0.0045625
-0.249903282,0.003
-0.249902282,0.003
-0.249901282,0.006125
-0.249900282,0.0014375
-0.249899282,0.003
-0.249898282,0.0045625
-0.249897282,0.006125
-0.249896282,0.0045625
-0.249895282,0.0045625
-0.249894282,0.0014375
-0.249893282,0.0045625
-0.249892282,0.0014375
-0.249891282,-0.0016875
-0.249890282,0.003
-0.249889282,0.003
-0.249888282,-0.000125
-0.249887282,0.006125
-0.249886282,0.0045625
-0.249885282,0.003
-0.249884282,0.0014375
-0.249883282,0.003
-0.249882282,0.0014375
-0.249881282,0.0045625
-0.249880282,0.0076875
-0.249879282,-0.000125
-0.249878282,-0.00325
-0.249877282,-0.000125
-0.249876282,-0.0016875
-0.249875282,0.003
-0.249874282,0.006125
-0.249873282,0.012375
-0.249872282,0.0014375
-0.249871282,0.003
-0.249870282,0.0076875
-0.249869282,0.0076875
-0.249868282,0.0014375
-0.249867282,-0.000125
-0.249866282,-0.00325
-0.249865282,0.0076875
-0.249864282,0.0045625
-0.249863282,0.0014375
-0.249862282,0.0045625
-0.249861282,-0.0016875
-0.249860282,0.0045625
-0.249859282,0.0139375
-0.249858282,-0.0016875
-0.249857282,-0.00325
-0.249856282,0.00925
-0.249855282,0.006125
-0.249854282,0.0045625
-0.249853282,0.003
-0.249852282,0.0045625
-0.249851282,0.006125
-0.249850282,0.006125
-0.249849282,0.0108125
-0.249848282,0.0014375
-0.249847282,0.0045625
-0.249846282,0.006125
-0.249845282,0.0014375
-0.249844282,-0.000125
-0.249843282,0.0045625
-0.249842282,0.003
-0.249841282,0.00925
-0.249840282,0.006125
-0.249839282,0.0076875
-0.249838282,0.0014375
-0.249837282,0.0076875
-0.249836282,0.0045625
-0.249835282,-0.000125
-0.249834282,-0.006375
-0.249833282,-0.0016875
-0.249832282,0.00925
-0.249831282,0.003
-0.249830282,-0.000125
-0.249829282,0.0014375
-0.249828282,0.006125
-0.249827282,0.003
-0.249826282,0.006125
-0.249825282,0.0045625
-0.249824282,0.0014375
-0.249823282,-0.0016875
-0.249822282,0.0076875
-0.249821282,0.003
-0.249820282,0.006125
-0.249819282,0.0045625
-0.249818282,0.0045625
-0.249817282,0.0045625
-0.249816282,0.006125
-0.249815282,0.006125
-0.249814282,-0.000125
-0.249813282,-0.000125
-0.249812282,-0.000125
-0.249811282,0.0076875
-0.249810282,-0.000125
-0.249809282,0.0045625
-0.249808282,0.003
-0.249807282,0.0045625
-0.249806282,0.0139375
-0.249805282,0.0076875
-0.249804282,0.006125
-0.249803282,0.0076875
-0.249802282,0.0014375
-0.249801282,0.0045625
-0.249800282,0.0014375
-0.249799282,0.003
-0.249798282,0.0014375
-0.249797282,0.0014375
-0.249796282,0.006125
-0.249795282,0.003
-0.249794282,0.003
-0.249793282,0.003
-0.249792282,0.0014375
-0.249791282,0.003
-0.249790282,0.003
-0.249789282,-0.000125
-0.249788282,0.0045625
-0.249787282,0.006125
-0.249786282,0.006125
-0.249785282,-0.0016875
-0.249784282,0.003
-0.249783282,0.003
-0.249782282,-0.000125
-0.249781282,0.0045625
-0.249780282,0.0139375
-0.249779282,0.0014375
-0.249778282,-0.0016875
-0.249777282,0.003
-0.249776282,0.0014375
-0.249775282,0.0014375
-0.249774282,0.0014375
-0.249773282,0.0045625
-0.249772282,0.0045625
-0.249771282,0.003
-0.249770282,0.003
-0.249769282,0.003
-0.249768282,0.0014375
-0.249767282,0.0045625
-0.249766282,0.006125
-0.249765282,-0.000125
-0.249764282,0.0045625
-0.249763282,0.0014375
-0.249762282,-0.000125
-0.249761282,0.003
-0.249760282,0.0045625
-0.249759282,-0.000125
-0.249758282,-0.000125
-0.249757282,0.003
-0.249756282,0.006125
-0.249755282,0.0045625
-0.249754282,0.0076875
-0.249753282,0.0045625
-0.249752282,-0.000125
-0.249751282,0.003
-0.249750282,0.0076875
-0.249749282,-0.0016875
-0.249748282,0.0045625
-0.249747282,0.0014375
-0.249746282,0.0014375
-0.249745282,-0.0016875
-0.249744282,0.0045625
-0.249743282,0.0014375
-0.249742282,0.0014375
-0.249741282,0.003
-0.249740282,0.0045625
-0.249739282,0.003
-0.249738282,0.003
-0.249737282,0.003
-0.249736282,0.0014375
-0.249735282,0.003
-0.249734282,0.003
-0.249733282,-0.000125
-0.249732282,0.006125
-0.249731282,0.0045625
-0.249730282,0.0045625
-0.249729282,0.0014375
-0.249728282,-0.000125
-0.249727282,-0.0141875
-0.249726282,-0.000125
-0.249725282,0.006125
-0.249724282,0.006125
-0.249723282,-0.000125
-0.249722282,0.00925
-0.249721282,-0.000125
-0.249720282,0.0045625
-0.249719282,0.0045625
-0.249718282,0.0014375
-0.249717282,-0.000125
-0.249716282,-0.000125
-0.249715282,-0.000125
-0.249714282,0.0014375
-0.249713282,0.006125
-0.249712282,0.006125
-0.249711282,0.0014375
-0.249710282,0.0045625
-0.249709282,0.0076875
-0.249708282,0.0014375
-0.249707282,-0.000125
-0.249706282,0.006125
-0.249705282,0.0014375
-0.249704282,0.003
-0.249703282,0.0076875
-0.249702282,0.00925
-0.249701282,0.006125
-0.249700282,-0.0048125
-0.249699282,0.0045625
-0.249698282,0.0045625
-0.249697282,0.0014375
-0.249696282,0.0045625
-0.249695282,0.0076875
-0.249694282,-0.000125
-0.249693282,0.0014375
-0.249692282,0.0045625
-0.249691282,0.0014375
-0.249690282,0.003
-0.249689282,0.006125
-0.249688282,0.0045625
-0.249687282,0.003
-0.249686282,0.003
-0.249685282,0.0014375
-0.249684282,0.0014375
-0.249683282,0.006125
-0.249682282,0.0045625
-0.249681282,-0.000125
