LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 04:22:58,0                 
Time,Ampl
-0.250000863,-0.0016875
-0.249999863,0.003
-0.249998863,0.053
-0.249997863,0.0014375
-0.249996863,0.0826875
-0.249995863,0.003
-0.249994863,0.00925
-0.249993863,0.0045625
-0.249992863,0.003
-0.249991863,-0.000125
-0.249990863,0.0014375
-0.249989863,-0.0016875
-0.249988863,0.003
-0.249987863,0.0045625
-0.249986863,-0.000125
-0.249985863,0.0045625
-0.249984863,-0.00325
-0.249983863,0.003
-0.249982863,-0.000125
-0.249981863,-0.000125
-0.249980863,0.0045625
-0.249979863,0.0045625
-0.249978863,0.003
-0.249977863,0.012375
-0.249976863,0.0076875
-0.249975863,0.0045625
-0.249974863,-0.0016875
-0.249973863,0.006125
-0.249972863,0.0045625
-0.249971863,0.0014375
-0.249970863,-0.000125
-0.249969863,0.003
-0.249968863,0.0045625
-0.249967863,-0.000125
-0.249966863,-0.000125
-0.249965863,0.0045625
-0.249964863,0.0045625
-0.249963863,0.003
-0.249962863,0.00925
-0.249961863,0.0201875
-0.249960863,0.0108125
-0.249959863,-0.0016875
-0.249958863,0.0076875
-0.249957863,-0.006375
-0.249956863,0.0014375
-0.249955863,0.006125
-0.249954863,0.006125
-0.249953863,0.003
-0.249952863,-0.000125
-0.249951863,-0.02825
-0.249950863,-0.006375
-0.249949863,-0.006375
-0.249948863,-0.000125
-0.249947863,0.006125
-0.249946863,0.0045625
-0.249945863,0.0014375
-0.249944863,0.0045625
-0.249943863,0.003
-0.249942863,0.0045625
-0.249941863,0.003
-0.249940863,0.0014375
-0.249939863,-0.000125
-0.249938863,0.0014375
-0.249937863,0.0045625
-0.249936863,-0.000125
-0.249935863,0.0076875
-0.249934863,0.006125
-0.249933863,-0.000125
-0.249932863,0.003
-0.249931863,0.0045625
-0.249930863,0.0014375
-0.249929863,-0.000125
-0.249928863,0.0014375
-0.249927863,0.0014375
-0.249926863,0.0014375
-0.249925863,0.0045625
-0.249924863,0.0045625
-0.249923863,-0.006375
-0.249922863,0.0045625
-0.249921863,0.0358125
-0.249920863,0.0045625
-0.249919863,-0.000125
-0.249918863,0.0014375
-0.249917863,-0.00325
-0.249916863,-0.0016875
-0.249915863,0.003
-0.249914863,0.0045625
-0.249913863,-0.0016875
-0.249912863,0.003
