# CH1, CH2, Coincidence
664,0,0
622,0,0
648,0,0
638,0,0
583,0,0
615,0,0
618,0,0
584,0,0
609,0,0
595,0,0
615,0,0
627,0,0
632,0,0
627,0,0
603,0,0
633,0,0
641,0,0
605,0,0
613,0,0
615,0,0
657,0,0
624,0,0
599,0,0
651,0,0
629,0,0
633,0,0
601,0,0
633,0,0
637,0,0
608,0,0
682,0,0
609,0,0
621,0,0
674,0,0
568,0,0
654,0,0
560,0,0
635,0,0
643,0,0
642,0,0
603,0,0
627,0,0
676,0,0
634,0,0
685,0,0
680,0,0
624,0,0
616,0,0
630,0,0
613,0,0
605,0,0
643,0,0
619,0,0
635,0,0
634,0,0
692,0,0
628,0,0
597,0,0
669,0,0
601,0,0
642,0,0
634,0,0
627,0,0
577,0,0
607,0,0
628,0,0
622,0,0
598,0,0
654,0,0
598,0,0
630,0,0
632,0,0
603,0,0
627,0,0
666,0,0
619,0,0
623,0,0
633,0,0
651,0,0
640,0,0
689,0,0
615,0,0
635,0,0
623,0,0
669,0,0
648,0,0
665,0,0
589,0,0
635,0,0
612,0,0
641,0,0
617,0,0
652,0,0
624,0,0
623,0,0
660,0,0
617,0,0
651,0,0
593,0,0
658,0,0
