LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 04:12:41,0                 
Time,Ampl
-0.250000136,0.006125
-0.249999136,0.006125
-0.249998136,0.0014375
-0.249997136,-0.000125
-0.249996136,0.0076875
-0.249995136,-0.0016875
-0.249994136,0.0045625
-0.249993136,0.0108125
-0.249992136,0.0014375
-0.249991136,-0.000125
-0.249990136,0.0014375
-0.249989136,0.003
-0.249988136,-0.000125
-0.249987136,0.006125
-0.249986136,0.003
-0.249985136,0.0014375
-0.249984136,0.0014375
-0.249983136,0.0045625
-0.249982136,-0.00325
-0.249981136,-0.0016875
-0.249980136,0.0014375
-0.249979136,0.003
-0.249978136,0.0014375
-0.249977136,0.003
-0.249976136,0.006125
-0.249975136,0.003
-0.249974136,0.003
-0.249973136,-0.000125
-0.249972136,-0.000125
-0.249971136,-0.000125
-0.249970136,0.006125
-0.249969136,0.0045625
-0.249968136,0.003
-0.249967136,0.0045625
-0.249966136,-0.000125
-0.249965136,-0.0016875
-0.249964136,0.0045625
-0.249963136,-0.000125
-0.249962136,-0.000125
-0.249961136,0.0045625
-0.249960136,-0.0016875
-0.249959136,0.0045625
-0.249958136,0.0045625
-0.249957136,0.003
-0.249956136,-0.000125
-0.249955136,0.0045625
-0.249954136,-0.000125
-0.249953136,-0.0016875
-0.249952136,0.006125
-0.249951136,0.0014375
-0.249950136,0.0045625
-0.249949136,0.003
-0.249948136,0.003
-0.249947136,0.0045625
-0.249946136,0.0045625
-0.249945136,0.003
-0.249944136,0.006125
-0.249943136,-0.000125
-0.249942136,-0.000125
-0.249941136,0.003
-0.249940136,0.0014375
-0.249939136,0.0014375
-0.249938136,0.0045625
-0.249937136,0.0045625
-0.249936136,0.006125
-0.249935136,0.006125
-0.249934136,-0.000125
-0.249933136,0.0014375
-0.249932136,0.0045625
-0.249931136,-0.000125
-0.249930136,-0.0016875
-0.249929136,0.003
-0.249928136,0.0076875
-0.249927136,0.0045625
-0.249926136,0.0045625
-0.249925136,0.003
-0.249924136,-0.000125
-0.249923136,0.003
-0.249922136,0.0014375
-0.249921136,0.003
-0.249920136,0.0045625
-0.249919136,0.0014375
-0.249918136,0.0045625
-0.249917136,0.0045625
-0.249916136,0.003
-0.249915136,0.003
-0.249914136,-0.000125
-0.249913136,0.0014375
-0.249912136,0.006125
-0.249911136,0.0014375
-0.249910136,0.006125
-0.249909136,0.006125
-0.249908136,-0.000125
-0.249907136,-0.000125
-0.249906136,-0.0016875
-0.249905136,0.0076875
-0.249904136,-0.000125
-0.249903136,0.0045625
-0.249902136,0.0076875
-0.249901136,0.0045625
-0.249900136,-0.000125
-0.249899136,-0.000125
-0.249898136,-0.0048125
-0.249897136,-0.0016875
-0.249896136,0.0045625
-0.249895136,0.006125
-0.249894136,0.003
-0.249893136,0.0045625
-0.249892136,0.003
-0.249891136,-0.000125
-0.249890136,-0.00325
-0.249889136,0.0014375
-0.249888136,0.0014375
-0.249887136,0.006125
-0.249886136,0.0014375
-0.249885136,0.0045625
-0.249884136,0.003
-0.249883136,0.003
-0.249882136,-0.0016875
-0.249881136,0.003
-0.249880136,0.0045625
-0.249879136,0.0045625
-0.249878136,0.003
-0.249877136,0.0045625
-0.249876136,0.0045625
-0.249875136,-0.000125
-0.249874136,0.0076875
-0.249873136,0.0014375
-0.249872136,0.0076875
-0.249871136,0.00925
-0.249870136,0.0045625
-0.249869136,-0.0016875
-0.249868136,0.0014375
-0.249867136,0.003
-0.249866136,0.0014375
-0.249865136,-0.000125
-0.249864136,0.003
-0.249863136,0.003
-0.249862136,0.0045625
-0.249861136,0.003
-0.249860136,0.0014375
-0.249859136,0.003
-0.249858136,-0.0016875
-0.249857136,0.0014375
-0.249856136,0.0045625
-0.249855136,0.003
-0.249854136,0.0045625
-0.249853136,0.0045625
-0.249852136,-0.000125
-0.249851136,-0.0016875
-0.249850136,0.003
-0.249849136,0.003
-0.249848136,0.006125
-0.249847136,0.0045625
-0.249846136,-0.000125
-0.249845136,-0.0016875
-0.249844136,0.0045625
-0.249843136,-0.000125
-0.249842136,0.0014375
-0.249841136,0.0045625
-0.249840136,-0.0016875
-0.249839136,0.006125
-0.249838136,0.0076875
-0.249837136,0.0014375
-0.249836136,0.0014375
-0.249835136,0.003
-0.249834136,0.006125
-0.249833136,0.0045625
-0.249832136,-0.000125
-0.249831136,0.0014375
-0.249830136,0.0014375
-0.249829136,0.003
-0.249828136,0.003
-0.249827136,0.003
-0.249826136,0.006125
-0.249825136,0.003
-0.249824136,0.003
-0.249823136,0.003
-0.249822136,0.003
-0.249821136,0.006125
-0.249820136,0.0045625
-0.249819136,0.012375
-0.249818136,0.0014375
-0.249817136,0.003
-0.249816136,-0.0016875
-0.249815136,0.0014375
-0.249814136,0.003
-0.249813136,0.006125
-0.249812136,0.0076875
-0.249811136,0.006125
-0.249810136,0.0014375
-0.249809136,0.0014375
-0.249808136,0.0014375
-0.249807136,0.0014375
-0.249806136,-0.000125
-0.249805136,0.003
-0.249804136,-0.000125
-0.249803136,-0.0016875
-0.249802136,0.0045625
-0.249801136,0.003
-0.249800136,0.0014375
-0.249799136,0.003
-0.249798136,0.0014375
-0.249797136,-0.000125
-0.249796136,0.003
-0.249795136,0.0045625
-0.249794136,0.0014375
-0.249793136,0.0139375
-0.249792136,-0.000125
-0.249791136,0.003
-0.249790136,0.0045625
-0.249789136,0.0014375
-0.249788136,-0.000125
-0.249787136,0.006125
-0.249786136,0.003
-0.249785136,0.0045625
-0.249784136,0.003
-0.249783136,-0.00325
-0.249782136,-0.006375
-0.249781136,0.0045625
-0.249780136,0.0014375
-0.249779136,-0.000125
-0.249778136,0.0076875
-0.249777136,0.006125
-0.249776136,0.0076875
-0.249775136,0.0045625
-0.249774136,0.0076875
-0.249773136,0.003
-0.249772136,0.003
-0.249771136,0.003
-0.249770136,-0.00325
-0.249769136,0.0045625
-0.249768136,0.003
-0.249767136,0.0076875
-0.249766136,0.0108125
-0.249765136,0.0045625
-0.249764136,0.0014375
-0.249763136,0.006125
-0.249762136,0.003
-0.249761136,0.003
-0.249760136,0.0014375
-0.249759136,-0.000125
-0.249758136,0.0045625
-0.249757136,0.006125
-0.249756136,0.0014375
-0.249755136,0.0045625
-0.249754136,0.0045625
-0.249753136,0.003
-0.249752136,0.0045625
-0.249751136,0.006125
-0.249750136,0.003
-0.249749136,-0.0016875
-0.249748136,0.0014375
-0.249747136,0.0014375
-0.249746136,-0.00325
-0.249745136,-0.000125
-0.249744136,0.0014375
-0.249743136,0.0014375
-0.249742136,0.0045625
-0.249741136,0.00925
-0.249740136,0.0076875
-0.249739136,0.0014375
-0.249738136,0.0076875
-0.249737136,0.006125
-0.249736136,0.0014375
-0.249735136,-0.0016875
-0.249734136,0.0045625
-0.249733136,0.003
-0.249732136,0.003
-0.249731136,0.0045625
-0.249730136,0.006125
-0.249729136,0.0045625
-0.249728136,0.003
