LECROYWS454,14016,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,30-Jan-2026 03:29:14,0                 
Time,Ampl
-0.250000188,4.98594
-0.249999188,4.99062
-0.249998188,4.98281
-0.249997188,4.9875
-0.249996188,4.9875
-0.249995188,4.98438
-0.249994188,4.98281
-0.249993188,4.98281
-0.249992188,4.99062
-0.249991188,4.98125
-0.249990188,4.98906
-0.249989188,4.98438
-0.249988188,4.97813
-0.249987188,4.97656
-0.249986188,4.98281
-0.249985188,4.97813
-0.249984188,4.97969
-0.249983188,4.98281
-0.249982188,4.98906
-0.249981188,4.98594
-0.249980188,4.98281
-0.249979188,4.9875
-0.249978188,4.98594
-0.249977188,4.98594
-0.249976188,4.9875
-0.249975188,4.98281
-0.249974188,4.98906
-0.249973188,4.98438
-0.249972188,4.98438
-0.249971188,4.9875
-0.249970188,4.98906
-0.249969188,4.98906
-0.249968188,4.98281
-0.249967188,4.98594
-0.249966188,4.98594
-0.249965188,4.97969
-0.249964188,4.9875
-0.249963188,4.98594
-0.249962188,4.97969
-0.249961188,4.98594
-0.249960188,4.98438
-0.249959188,4.98281
-0.249958188,4.98438
-0.249957188,4.98906
-0.249956188,4.98438
-0.249955188,4.97813
-0.249954188,4.98125
-0.249953188,4.98438
-0.249952188,4.9875
-0.249951188,4.99062
-0.249950188,4.99219
-0.249949188,4.98281
-0.249948188,4.99062
-0.249947188,4.98438
-0.249946188,4.97969
-0.249945188,4.98281
-0.249944188,4.98125
-0.249943188,4.98125
-0.249942188,4.98438
-0.249941188,4.9875
-0.249940188,4.98438
-0.249939188,4.9875
-0.249938188,4.98281
-0.249937188,4.9875
-0.249936188,4.98594
-0.249935188,4.98438
-0.249934188,4.9875
-0.249933188,4.98594
-0.249932188,4.9875
-0.249931188,4.98594
-0.249930188,4.97813
-0.249929188,4.98125
-0.249928188,4.98594
-0.249927188,4.99062
-0.249926188,4.98594
-0.249925188,4.99062
-0.249924188,4.9875
-0.249923188,4.98438
-0.249922188,4.9875
-0.249921188,4.9875
-0.249920188,4.97969
-0.249919188,4.98125
-0.249918188,4.9875
-0.249917188,4.98438
-0.249916188,4.98594
